word	count
<<<<<<< HEAD
travel	3
obsessed	2
building	2
interior	2
luxury	2
good	2
specialist	2
film	2
football	2
gaming	2
alway	2
workaholic	2
for	2
new	2
source	2
of	2
inspiration	2
fashion	2
fitness	2
health	2
food	2
trailer	2
looking	2
teaser	1
tech	1
video	1
follow	1
u	1
pinterest	1
http	1
=======
marn	3
enthusiast	2
luxury	2
travel	2
blogger	2
life	2
adventure	1
seeker	1
just	1
small	1
town	1
girl	1
trying	1
to	1
escape	1
the	1
ordinary	1
fella	1
that	1
write	1
female	1
fiction	1
rna	1
member	1
love	1
my	1
book	1
garden	1
westie	1
husband	1
>>>>>>> 83582b0a4f2351fcffbbb2f1a0143efc6d611f8c
